unicode	char	fanti	jianti	group	level	is_radical	ids	pinyin	radical	strokes	stroke_seq	freq	basic
U+6253	打	打	打	A1a	一级		⿰扌丁	dá / dǎ	手（扌龵）	5	12112	6495535	1
U+5DE7	巧	巧	巧	A1a	一级		⿰工丂	qiǎo	工	5	12115	367301	1
U+6B63	正	正	正	A1a	一级		⿱一止	zhēng / zhèng	止	5	12121	8227323	1
U+6251	扑	撲	扑	A1a	一级		⿰扌卜	pū	手（扌龵）	5	12124	211701	1
U+529F	功	功	功	A1a	一级		⿰工力	gōng	力	5	12153	2712529	1
U+6254	扔	扔	扔	A1a	一级		⿰扌乃	rēng	手（扌龵）	5	12153	111998	0
U+53BB	去	去	去	A1a	一级		⿱土厶	qù	厶	5	12154	7943787	1
U+7518	甘	甘	甘	A1a	一级	★	⿴廿一	gān	甘	5	12211	391186	1
U+4E16	世	世	世	A1a	一级		⿻廿𠃊	shì	一	5	12215	5042463	1
U+827E	艾	艾	艾	A1a	一级		⿱艹乂	ài / yì	艸（艹）	5	12234	391598	0
U+53E4	古	古	古	A1a	一级		⿱十口	gǔ	口	5	12251	1591299	1
U+8282	节	節	节	A1a	一级		⿱艹𰆊	jiē / jié	艸（艹）	5	12252	4842239	1
U+672C	本	本	本	A1a	一级		⿻十亼	běn	木	5	12341	15895296	1
U+672F	术	術	术	A1a	一级		⿺木丶	shù / zhú	木	5	12344	4792225	1
U+53EF	可	可	可	A1a	一级		⿹丁口	kě / kè	口	5	12512	15048313	1
U+4E19	丙	丙	丙	A1a	一级		⿱一内	bǐng	一	5	12534	64086	0
U+5DE6	左	左	左	A1a	一级		⿸𠂇工	zuǒ	工	5	13121	1692090	1
U+5389	厉	厲	厉	A1a	一级		⿸厂万	lì	厂	5	13153	273701	1
U+77F3	石	石	石	A1a	一级	★	⿸丆口	dàn / shí	石	5	13251	2100281	1
U+53F3	右	右	右	A1a	一级		⿸𠂇口	yòu	口	5	13251	1639594	1
U+5E03	布	布	布	A1a	一级		⿸𠂇巾	bù	巾	5	13252	5392850	1
