char	code	code_short	code_more	units	flag
愉	nwgj			〖※※※〗	
慨	nvcq	nvc		〖※※※〗	
割	pdhj	pdh		〖※※※〗	
寒	pawu			〖※※※〗	
富	pgkl	pgk		〖※※※〗	
寓	pjmy	pjm		〖※※※〗	
窜	pwkh			〖※※※〗	
窝	pwkw	pwk		〖※※※〗	
窖	pwtk			〖※※※〗	
窗	pwtq	pwt		〖※※※〗	
窘	pwvk			〖※※※〗	
遍	ynmp	ynm		〖※※※〗	
雇	ynwy	ynw		〖※※※〗	
裕	puwk	puw		〖※※※〗	
裤	puol	puo		〖※※※〗	
裙	puvk			〖※※※〗	
禅	pyul			〖※※※〗	
禄	pyvi	pyv		〖※※※〗	
谢	ytmf	ytm		〖※※※〗	
谣	yerm	yer		〖※※※〗	
谤	yyuy	yyu		〖※※※〗	
谦	yuvo	yuv		〖※※※〗	
犀	nitg	nit		〖※※※〗	
属	ntky	ntk		〖※※※〗	
屡	novd	no		〖※※※〗	横·杂合〔一 ⿻〕
强	xkjy	xk		〖※※※〗	捺·左右〔丶 ⿰〕
粥	xoxn	xox		〖※※※〗	折·左右〔乛 ⿰〕
疏	nhyk	nhy		〖※※※〗	
隔	bgkh	bgk		〖※※※〗	
隙	biji	bij		〖※※※〗	
隘	buwl	buw		〖※※※〗	
媒	vafs	va/vaf		〖※※※〗	
絮	vkxi	vkx		〖※※※〗	
嫂	vehc	veh		〖※※※〗	
媚	vnhg			〖※※※〗	横·左右〔一 ⿰〕
婿	vnhe	vnh		〖※※※〗	
登	wgku			〖※※※〗	
缅	xdmd			〖※※※〗	
缆	xjtq	xjt		〖※※※〗	
缉	xkbg	xkb		〖※※※〗	横·左右〔一 ⿰〕
缎	xwdc	xwd		〖※※※〗	
缓	xegc			〖※※※〗	
缔	xyuh	xyu		〖※※※〗	
缕	xovg	xov		〖※※※〗	横·左右〔一 ⿰〕
骗	cgya	cgy		〖※※※〗	
编	xyna	xyn		〖※※※〗	
骚	cgcj	cgc		〖※※※〗	
缘	xxge			〖※※※〗	
瑟	ggnt	ggn		〖※※※〗	
鹉	fhng			〖※※※〗	
瑞	gmdj	gmd		〖※※※〗	
瑰	grqc	grq		〖※※※〗	
瑙	gvtr	gvt		〖※※※〗	
魂	fcrc	fcr		〖※※※〗	
肆	dcvg	dcv		〖※※※〗	
