unicode	char	group	level	ids	strokes	pinyin	stroke_seq	radical	freq	basic
U+68BE	梾	0	三级	⿰木来	11	lái	12341431234	木	9	0
U+686F	桯	0	三级	⿰木呈	11	tīng	12342511121	木	8	0
U+68A3	梣	0	三级	⿰木岑	11	chén	12342523445	木	3	0
U+688C	梌	0	三级	⿰木余	11	tú	12343411234	木	1	0
U+6879	桹	0	三级	⿰木良	11	láng	12344511534	木	0	0
U+6554	敔	0	三级	⿰吾攵	11	yǔ	12512513134	攴（攵）	3	0
U+53A3	厣	0	三级	⿸厌甲	11	yǎn	13134425112	厂	332	0
U+7854	硔	0	三级	⿰石共	11	hóng	13251122134	石	0	0
U+9FCE	鿎	0	三级	⿰石达	11	tǎ	13251134454		0	0
U+7859	硙	0	三级	⿰石岂	11	wèi	13251252515	石	2	0
U+785A	硚	0	三级	⿰石乔	11	qiáo	13251313432	石	17	0
U+784A	硊	0	三级	⿰石危	11	huì wěi	13251351355	石	5	0
U+784D	硍	0	三级	⿰石艮	11	yín xiàn	13251511534	石	6	0
U+52D4	勔	0	三级	⿰面力	11	miǎn	13252211153	力	58	0
U+4D15	䴕	0	三级	⿱列鸟	17	liè	13542235451	鳥	0	0
U+9F81	龁	0	三级	⿰齿乞	11	hé	21213452315	齒	380	0
U+9034	逴	0	三级	⿺辶卓	11	chuō	21251112454	辵（⻍辶）	4	0
U+552A	唪	0	三级	⿰口奉	11	fěng	25111134112	口	99	0
U+556B	啫	0	三级	⿰口者	11	zhě	25112132511	口	145	0
U+7FC8	翈	0	三级	⿰甲羽	11	xiá	25112541541	羽	0	0
U+3AF0	㫰	0	三级	⿰日良	11	làng	25114511534	日	0	0
U+6659	晙	0	三级	⿰日夋	11	jùn	25115434354	日	6	0
U+7564	畤	0	三级	⿰田寺	11	zhì	25121121124	田	54	0
U+2CC56	𬱖	0	三级	⿰由页	11	dí	25121132534		0	0
U+8DBC	趼	0	三级	⿰𧾷开	11	jiǎn	25121211132	足	58	0
U+8DC2	跂	0	三级	⿰𧾷支	11	qí	25121211254	足	4067	0
U+86C3	蛃	0	三级	⿰虫丙	11	bǐng	25121412534	虫	0	0
U+86B2	蚲	0	三级	⿰虫平	11	píng	25121414312	虫	1	0
U+2C7FD	𬟽	0	三级	⿰虫东	11	dōng	25121415234		0	0
U+86BA	蚺	0	三级	⿰虫冉	11	rán	25121425211	虫	940	0
U+5574	啴	0	三级	⿰口单	11	chǎn	25143251112	口	6	0
U+4383	䎃	0	三级	⿰冉羽	11	rǎn	25211541541	羽	0	0
U+5D27	崧	0	三级	⿱山松	11	sōng	25212343454	山	1363	0
U+5D1F	崟	0	三级	⿱山金	11	yín	25234112431	山	2	0
U+5D1E	崞	0	三级	⿰山享	11	guō	25241251521	山	119	0
U+5D12	崒	0	三级	⿱山卒	11	zú	25241343412	山	51	0
U+5D0C	崌	0	三级	⿰山居	11	jū	25251312251	山	7	0
U+5D21	崡	0	三级	⿰山函	11	hán	25252413452	山	0	0
U+94CF	铏	0	三级	⿰钅刑	11	xíng	31115113222	金（釒）	14	0
U+2B4EF	𫓯	0	三级	⿰钅圭	11	jī	31115121121	金（釒）	0	0
U+2B7F9	𫟹	0	三级	⿰钅共	11	hóng	31115122134	金（釒）	0	0
U+94D5	铕	0	三级	⿰钅有	11	yǒu	31115132511	钅	5	0
U+2B7FC	𫟼	0	三级	⿰钅达	12	dá	31115134454	金（釒）	0	0
U+94D6	铖	0	三级	⿰钅成	11	chéng	31115135534	钅	1123	0
U+94D8	铘	0	三级	⿰钅邪	11	yé	31115152352	钅	248	0
U+94DA	铚	0	三级	⿰钅至	11	zhì	31115154121	金（釒）	18	0
U+94DE	铞	0	三级	⿰钅吊	11	diào	31115251252	钅	36	0
U+94E5	铥	0	三级	⿰钅丢	11	diū	31115312154	钅	2	0
U+94F4	铴	0	三级	⿰钅汤	11	tāng	31115441533	钅	5	0
U+727B	牻	0	三级	⿰牛尨	11	máng	31211353334	牛	53	0
U+727F	牿	0	三级	⿰牛告	11	gù	31213121251	牛	29	0
U+7A06	稆	0	三级	⿰禾吕	11	lǚ	31234251251	禾	72	0
U+7B31	笱	0	三级	⿱竹句	11	gǒu	31431435251	⺮	91	0
U+7B2F	笯	0	三级	⿱竹奴	11	nú	31431453154	竹（⺮）	4	0
U+5070	偰	0	三级	⿰亻契	11	xiè	32111253134	人（亻）	0	0
U+5061	偡	0	三级	⿰亻甚	11	zhàn	32122111345	人（亻）	26	0
U+9E3A	鸺	0	三级	⿰休鸟	11	xiū	32123435451	鸟	24	0
U+506D	偭	0	三级	⿰亻面	11	miǎn	32132522111	人（亻）	1	0
U+5072	偲	0	三级	⿰亻思	11	cāi	32251214544	人（亻）	33	0
U+5041	偁	0	三级	⿰亻爯	11	chēng	32344325211	人（亻）	20	0
U+3FE0	㿠	0	三级	⿰白光	11	huàng	32511243135	白	0	0
U+9105	鄅	0	三级	⿰禹阝	11	yǔ	32512521452	邑（阝，在右）	2	0
U+5053	偓	0	三级	⿰亻屋	11	wò	32513154121	人（亻）	37	0
U+5F9B	徛	0	三级	⿰彳奇	11	jì	33213412512	彳	0	0
U+8852	衒	0	三级	⿲彳玄亍	11	xuàn	33241554112	行	32	0
U+8233	舳	0	三级	⿰舟由	11	zhú	33541425121	舟	105	0
U+8232	舲	0	三级	⿰舟令	11	líng	33541434454	舟	15	0
U+9E3C	鸼	0	三级	⿰舟鸟	11	zhōu	33541435451	鳥	3	0
U+6086	悆	0	三级	⿱余心	11	yù	34112344544	心（忄⺗）	4	0
U+9103	鄃	0	三级	⿰俞阝	11	shū	34125112252	邑（阝，在右）	6	0
U+74FB	瓻	0	三级	⿰希瓦	11	chī	34132521554	瓦	0	0
U+4759	䝙	0	三级	⿰豸区	11	chū	34435331345	豸	0	0
U+8136	脶	0	三级	⿰月呙	11	luó	35112512534	⺼	642	0
U+811E	脞	0	三级	⿰月坐	11	cuǒ	35113434121	⺼	55	0
U+811F	脟	0	三级	⿰月寽	11	liè	35113443124	肉（⺼）	1	0
U+43F2	䏲	0	三级	⿰月弟	11	tī dié	35114351523	肉（⺼）	0	0
U+9C7E	鱾	0	三级	⿰鱼己	11	jǐ	35251211515	魚	1	0
U+7307	猇	0	三级	⿰犭虎	11	xiāo	35321531535	犭	72	0
U+730A	猊	0	三级	⿰犭兒	11	ní	35332151135	犭	2254	0
U+7304	猄	0	三级	⿰犭京	11	jīng	35341251234	犬（犭）	1	0
U+89D6	觖	0	三级	⿰角夬	11	jué	35351125134	角	126	0
U+20164	𠅤	0	三级	⿱亠思	11	xí	41251214544	亠	0	0
U+5EB1	庱	0	三级	⿸广夌	11	chěng	41312134354	广	4	0
U+5EBC	庼	0	三级	⿸广顷	11	qǐng	41315132534	广	15	0
U+5EB3	庳	0	三级	⿸广卑	11	bì	41332511312	广	36	0
U+75D3	痓	0	三级	⿸疒至	11	chì	41341154121	疒	0	0
U+4D14	䴔	0	三级	⿰交鸟	17	jiāo	41343435451	鳥	0	0
U+7AEB	竫	0	三级	⿰立争	11	jìng	41431355112	立	0	0
U+5803	堃	0	三级	⿱⿰方方土	11	kūn	41534153121	土	123	0
U+960C	阌	0	三级	⿵门受	11	wén	42534434554	门	91	0
U+7F9D	羝	0	三级	⿰羊氐	11	dī	43111335154	羊	236	0
U+7F95	羕	0	三级	⿱𦍌永	11	yàng	43112145534	羊	559	0
U+7106	焆	0	三级	⿰火肙	11	juān	43342512511	火（灬）	2	0
U+70FA	烺	0	三级	⿰火良	11	lǎng	43344511534	火（灬）	780	0
U+710C	焌	0	三级	⿰火夋	11	jùn	43345434354	火	130	0
U+6DCF	淏	0	三级	⿰氵昊	11	hào	44125111134	水（氵氺）	138	0
U+2C1F9	𬇹	0	三级	⿰氵国	11	guó	44125112141		0	0
U+6DDF	淟	0	三级	⿰氵典	11	tiǎn	44125122134	水（氵氺）	1	0
U+6DDC	淜	0	三级	⿰氵朋	11	péng	44135113511	水（氵氺）	2	0
U+6DF4	淴	0	三级	⿰氵忽	11	hū	44135334544	水（氵氺）	8	0
U+6DEF	淯	0	三级	⿰氵育	11	yù	44141542511	氵	187	0
U+6E74	湴	0	三级	⿰氵並	11	bàn	44143122431	氵	2	0
U+6DB4	涴	0	三级	⿰氵宛	11	wò	44144535455	水（氵氺）	23	0
U+2C361	𬍡	0	三级	⿱汤玉	11	dàng	44153311214		0	0
U+3944	㥄	0	三级	⿰忄夌	11	líng	44212134354	心（忄⺗）	0	0
U+60DB	惛	0	三级	⿰忄昏	11	hūn	44235152511	忄	13	0
U+60D4	惔	0	三级	⿰忄炎	11	tán	44243344334	心（忄⺗）	30	0
U+60B0	悰	0	三级	⿰忄宗	11	cóng	44244511234	心（忄⺗）	85	0
U+60D9	惙	0	三级	⿰忄叕	11	chuò	44254545454	忄	15	0
U+5BC1	寁	0	三级	⿱宀疌	11	zǎn	44515112134	宀	0	0
U+902D	逭	0	三级	⿺辶官	11	huàn	44525151454	辶	127	0
U+2C907	𬤇	0	三级	⿰讠垔	11	yīn	45125221121		0	0
U+2B36F	𫍯	0	三级	⿰讠咸	11	xián	45131251534	言（訁）	0	0
U+88BC	袼	0	三级	⿰衤各	11	gē	45234354251	衤	162	0
U+88C8	裈	0	三级	⿰衤军	11	kūn	45234451512	衣（衤）	27	0
U+7972	祲	0	三级	⿰礻𠬶	11	jìn	45245114554	示（⺬礻）	7	0
U+2C90A	𬤊	0	三级	⿰讠是	11	shì	45251112134		0	0
U+2B372	𫍲	0	三级	⿰讠叟	11	xiǎo	45321511254	言（訁）	0	0
U+8C1E	谞	0	三级	⿰讠胥	11	xū	45521342511	言（訁）	64	0
U+8274	艴	0	三级	⿰弗色	11	fú	51532355215	色	81	0
U+5F38	弸	0	三级	⿰弓朋	11	péng	51535113511	弓	3	0
U+5F36	弶	0	三级	⿰弓京	11	jiàng	51541251234	弓	2	0
U+2CBCE	𬯎	0	三级	⿰阝贵	12	tuí	52251212534		0	0
U+9683	隃	0	三级	⿰阝俞	11	shù	52341251122	阜（阝，在左）	1	0
U+5A5E	婞	0	三级	⿰女幸	11	xìng	53112143112	女	21	0
U+5A35	娵	0	三级	⿰女取	11	jū	53112211154	女	9	0
U+5A7C	婼	0	三级	⿰女若	11	ruò	53112213251	女	88	0
U+5A96	媖	0	三级	⿰女英	11	yīng	53112225134	女	3	0
U+5A73	婳	0	三级	⿰女画	11	huà	53112512152	女	1640	0
